"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1831","36.585826","136.6793","避難所","","","","","","小坂白蓮公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0811","金沢市小坂南589","","","","","","","",""
"1832","36.586651","136.666449","避難所","","","","","","神宮寺運動公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0806","金沢市神宮寺3-123","","","","","","","",""
"1833","36.587652","136.668063","避難所","","","","","","神宮寺桜児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0806","金沢市神宮寺2-326","","","","","","","",""
"1834","36.598692","136.689123","避難所","","","","","","神谷内児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-0801","金沢市神谷内町チ204-1","","","","","","","",""
"1835","36.593807","136.670766","避難所","","","","","","東金沢スポーツ広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0802","金沢市三池町240-1","","","","","","","",""
"1836","36.593443","136.675689","避難所","","","","","","小坂公民館（指定避難場所）","収容人数：112
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0811","金沢市小坂町北312","","","","","","","標高：8.6M",""
"1837","36.585023","136.682477","避難所","","","","","","星稜高校（指定避難場所）","収容人数：1386
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：未利用","920-0811","金沢市小坂町南206","","","","","","","",""
"1838","36.595254","136.676222","避難所","","","","","","北鳴中学校（指定避難場所）","収容人数：3332
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0811","金沢市小坂町北95","","","","","","","標高：8.5M",""
"1839","36.590108","136.677683","避難所","","","","","","小坂小学校（指定避難場所）","収容人数：2419
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0811","金沢市小坂町中142","","","","","","","標高：12.8M",""
"1840","36.572921","136.678474","避難所","","","","","","卯辰山公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0832","金沢市卯辰町","","","","","","","",""
"1841","36.576989","136.679966","避難所","","","","","","鳴和台市民公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-0815","金沢市鳴和台285","","","","","","","",""
"1842","36.580878","136.678962","避難所","","","","","","鳴和台桜丘公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-0815","金沢市鳴和台20","","","","","","","",""
"1843","36.580151","136.678137","避難所","","","","","","鳴和憩いの広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-0814","金沢市鳴和町タ175","","","","","","","",""
"1844","36.58316","136.671175","避難所","","","","","","小金町公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0805","金沢市小金町183","","","","","","","",""
"1845","36.57704","136.679161","避難所","","","","","","鳴和台市民体育会館（指定避難場所）","収容人数：1397
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-0815","金沢市鳴和台285","","","","","","","標高：50.9M",""
"1846","36.587541","136.669875","避難所","","","","","","城北市民体育館（指定避難場所）","収容人数：330
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0804","金沢市鳴和2-10-44","","","","","","","標高：8.6M",""
"1847","36.579398","136.669017","避難所","","","","","","森山公民館（指定避難場所）","収容人数：134
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0843","金沢市森山2-11-13","","","","","","","標高：12.4M",""
